factor,market,r2_naive,r2_mmd,r2_oracle,transfer_efficiency,mmd_distance,mmd_improves
SMB,Europe,-0.00953238559814129,-0.055356042606860445,-0.059840930042408313,0.9108525524527787,0.2899694606544808,False
SMB,Japan,-0.010228975468817847,-0.04733572102887518,0.006354490620849362,-2.237573435112178,0.2808198191107302,False
SMB,UK,-0.020983865243646038,-0.0850390795143996,-0.08564679209660575,0.990601992428086,0.28914036305266594,False
SMB,Asia_ex_Japan,-0.0017620121185981663,-0.03214574893108746,-0.0011528670417897402,-49.87849230721376,0.27612850128804967,False
HML,Europe,-0.019656172518381698,-0.030818857738948324,-0.03572128848492384,0.6948404351527154,0.1697425494169804,False
HML,Japan,-0.03640774905834565,-0.055977540618948884,-0.06607233201391494,0.6597024534927332,0.22901469114680895,False
HML,UK,0.01002408004797306,-0.018246690691108958,0.017689500865227026,-3.6880863467514318,0.1990807796493196,False
HML,Asia_ex_Japan,0.0032788309086988487,-0.021613088578384287,-0.006696265948864744,2.4954087961859583,0.15982843037642747,False
Mom,Europe,-0.030546140112920783,-0.0188834379626428,-0.03749190500338484,-1.6791122540603758,0.20003066241124215,True
Mom,Japan,-0.117447491711687,-0.06630534024858781,-0.02513105052538145,0.5539874075086386,0.288846615594573,True
Mom,UK,-0.04332439638097063,-0.037775815508679145,-0.018918395647608444,0.22734485094308202,0.2187744535589944,True
Mom,Asia_ex_Japan,-0.06416892312193867,-0.06112559690251129,-0.052888516644802985,0.2697884626508167,0.264273707300262,True
CMA,Europe,0.017410803235495043,0.01586767386885446,-0.02114202792942388,0.04002636694314738,0.20423791087144894,False
CMA,Japan,-0.03143365442946511,-0.022042795702418738,-0.060908964287492706,-0.3186009564713137,0.22253032808971443,True
CMA,UK,0.004022609311972181,0.007106504264798086,-0.03263988584844291,-0.0841158186449298,0.20443612399156735,True
CMA,Asia_ex_Japan,-0.02323671318065834,-0.016200563446705507,0.007169133730576593,0.23140771051096354,0.220810223241597,True
