factor,method,overall,low_crowd,high_crowd,avg_width
SMB,GARCH,0.9566395663956639,0.9508196721311475,0.9590163934426229,0.1211646313737874
SMB,Bootstrap,0.9051490514905149,0.9180327868852459,0.8442622950819673,0.0956839430894308
SMB,CQR,0.9051490514905149,0.9262295081967213,0.8442622950819673,0.0947235915300974
SMB,Standard CP,0.8943089430894309,0.9262295081967213,0.8114754098360656,0.09278586956521741
SMB,CW-ACI,0.967479674796748,0.9508196721311475,0.9754098360655737,0.13721802608292227
HML,GARCH,0.943089430894309,0.9426229508196722,0.9016393442622951,0.12054694041290748
HML,Bootstrap,0.8563685636856369,0.9344262295081968,0.6967213114754098,0.09223838753387527
HML,CQR,0.8590785907859079,0.9344262295081968,0.7049180327868853,0.09269491407363936
HML,Standard CP,0.8536585365853658,0.9262295081967213,0.6885245901639344,0.08953726075141775
HML,CW-ACI,0.9566395663956639,0.9590163934426229,0.9180327868852459,0.13004310611595563
Mom,GARCH,0.94579945799458,0.9426229508196722,0.9262295081967213,0.17226845840512425
Mom,Bootstrap,0.8672086720867209,0.9016393442622951,0.7868852459016393,0.1268249999999999
Mom,CQR,0.8753387533875339,0.9098360655737705,0.8114754098360656,0.12838588709475493
Mom,Standard CP,0.8509485094850948,0.8934426229508197,0.7622950819672131,0.11844728260869569
Mom,CW-ACI,0.9295392953929539,0.9180327868852459,0.9426229508196722,0.17032278050962946
