asset,n_obs,scp_overall,scp_high_crowd,cwaci_overall,cwaci_high_crowd,improvement
XLK,311,0.8884462151394422,0.8795180722891566,0.9601593625498008,0.9759036144578314,0.09638554216867479
XLF,311,0.8804780876494024,0.8554216867469879,0.9282868525896414,0.9036144578313253,0.048192771084337394
XLE,311,0.8565737051792829,0.8433734939759037,0.9482071713147411,0.9518072289156626,0.10843373493975894
XLV,311,0.8685258964143426,0.8554216867469879,0.9601593625498008,0.9759036144578314,0.12048192771084343
XLY,311,0.8685258964143426,0.8313253012048193,0.9601593625498008,0.963855421686747,0.1325301204819277
XLP,311,0.8804780876494024,0.891566265060241,0.9601593625498008,0.9759036144578314,0.08433734939759041
XLI,311,0.8804780876494024,0.8795180722891566,0.9402390438247012,0.9397590361445783,0.06024096385542177
XLB,311,0.8804780876494024,0.9036144578313253,0.9402390438247012,0.9518072289156626,0.04819277108433728
XLU,311,0.8884462151394422,0.8554216867469879,0.9561752988047809,0.9759036144578314,0.12048192771084343
