factor,method,coverage_overall,coverage_high_vol,coverage_low_vol,se_overall,se_high_vol,se_low_vol,avg_width,width_high,width_low,improvement_high,z_stat,p_value,n_high,n_low
Mkt-RF,saci,0.8780487804878049,0.875,0.8810810810810811,0.01703488526267264,0.024380921800171686,0.023798388503479914,0.13054898373983734,0.167955115784499,0.09334504700352518,0.08695652173913049,2.2283701589399514,0.025855841329077256,184,185
Mkt-RF,vol_scaling,0.8861788617886179,0.8913043478260869,0.8810810810810811,0.01653327815258031,0.022946168972231035,0.023798388503479914,0.13363098105081156,0.17584049175262334,0.09164962986630683,0.1032608695652174,2.6994312099849154,0.006945811360230314,184,185
Mkt-RF,standard,0.8861788617886179,0.7880434782608695,0.9837837837837838,0.01653327815258031,0.030129336656230195,0.009286214877177278,0.1401625000000001,0.1401625000000001,0.1401625000000001,0.0,,,184,185
SMB,saci,0.9024390243902439,0.8369565217391305,0.9675675675675676,0.01544663263466226,0.027232922696126274,0.013024004814177537,0.09267116766819838,0.0960512759924385,0.08930933019976495,0.01630434782608703,0.415169049398502,0.6780181545301178,184,185
SMB,vol_scaling,0.926829268292683,0.9347826086956522,0.918918918918919,0.013556743712184974,0.018202377289764416,0.020068388396195725,0.09987264048008834,0.1253267198719791,0.07455615070653211,0.11413043478260876,3.341455532758051,0.0008334036488628627,184,185
SMB,standard,0.8943089430894309,0.8206521739130435,0.9675675675675676,0.016004780569666893,0.028282559475073736,0.013024004814177537,0.09278586956521741,0.09278586956521741,0.09278586956521741,0.0,,,184,185
HML,saci,0.8509485094850948,0.7717391304347826,0.9297297297297298,0.018539867223558597,0.03094155122711103,0.018792229473247914,0.08509965388240834,0.10319118620037802,0.06710591363102227,0.048913043478260865,1.0795893647498285,0.2803250794763694,184,185
HML,vol_scaling,0.8943089430894309,0.8967391304347826,0.8918918918918919,0.016004780569666893,0.022433241830636236,0.022829656514965737,0.0972724435518135,0.13422322912297205,0.06052139195671527,0.17391304347826086,4.250272113560458,2.1351096785027224e-05,184,185
HML,standard,0.8536585365853658,0.7228260869565217,0.9837837837837838,0.01839977903575181,0.03299773830948944,0.009286214877177278,0.08953726075141775,0.08953726075141775,0.08953726075141775,0.0,,,184,185
RMW,saci,0.8102981029810298,0.7228260869565217,0.8972972972972973,0.020410096821588005,0.03299773830948944,0.022318923925463127,0.0546464357252268,0.06276020793950848,0.04657652173913044,0.07065217391304346,1.462036048500386,0.14373133171925345,184,185
RMW,vol_scaling,0.8726287262872628,0.8586956521739131,0.8864864864864865,0.017355507419628217,0.025679613500190986,0.023322439694751104,0.0652390809221619,0.08588749928413182,0.04470227563241885,0.2065217391304348,4.608545220431389,4.0549618924856645e-06,184,185
RMW,standard,0.7913279132791328,0.6521739130434783,0.9297297297297298,0.02115423083532505,0.03511186317770645,0.018792229473247914,0.05176620982986769,0.05176620982986769,0.05176620982986769,0.0,,,184,185
CMA,saci,0.8644986449864499,0.7880434782608695,0.9405405405405406,0.01781725495108558,0.030129336656230195,0.017386548410278674,0.05973725845410625,0.06713791351606804,0.052376606933019924,0.04347826086956519,0.985462531566551,0.32439692720171154,184,185
CMA,vol_scaling,0.9214092140921409,0.9184782608695652,0.9243243243243243,0.01400873462310208,0.020172617199353506,0.01944484476760477,0.06785944333869388,0.0898427150036333,0.04599500016924063,0.17391304347826086,4.4567403178799,8.321530475807748e-06,184,185
CMA,standard,0.8644986449864499,0.7445652173913043,0.9837837837837838,0.01781725495108558,0.03215011109947198,0.009286214877177278,0.06048092804820416,0.06048092804820416,0.06048092804820416,0.0,,,184,185
Mom,saci,0.8726287262872628,0.8043478260869565,0.9405405405405406,0.017355507419628217,0.02924525237911569,0.017386548410278674,0.11295262018381051,0.13954693998109638,0.08650205346650998,0.08152173913043481,1.8403582912911192,0.06571565261143508,184,185
Mom,vol_scaling,0.9295392953929539,0.9130434782608695,0.9459459459459459,0.013322759395946817,0.0207724583892589,0.01662499149268231,0.14174689953528388,0.19607705141207052,0.08771042415512853,0.19021739130434778,4.727932902592072,2.2681710711847103e-06,184,185
Mom,standard,0.8509485094850948,0.7228260869565217,0.9783783783783784,0.018539867223558597,0.03299773830948944,0.010693298507634013,0.11844728260869569,0.11844728260869569,0.11844728260869569,0.0,,,184,185
