factor,name,n_predictions,overall_coverage,high_vol_coverage,low_vol_coverage,se_high,se_low,n_high,n_low,avg_width,high_vol_width,low_vol_width
Mkt-RF,Expanding-Standard,616,0.887987012987013,0.7987012987012987,0.9772727272727273,0.02284742832399288,0.008491925844637423,308,308,0.14275142244192912,0.14323671035386978,0.1422661345299885
Mkt-RF,Expanding-VolScaled,616,0.875,0.8668831168831169,0.8831168831168831,0.01935626165894412,0.018306681580494734,308,308,0.13658766681715787,0.1778911656451288,0.09528416798918689
Mkt-RF,Rolling-Standard,616,0.8847402597402597,0.7987012987012987,0.9707792207792207,0.02284742832399288,0.009596895683573685,308,308,0.14794813645382396,0.14770002263708515,0.1481962502705628
Mkt-RF,Rolling-VolScaled,616,0.8928571428571429,0.8831168831168831,0.9025974025974026,0.018306681580494734,0.01689495154574874,308,308,0.14638261438320507,0.19058624354617032,0.1021789852202398
SMB,Expanding-Standard,616,0.9188311688311688,0.8538961038961039,0.9837662337662337,0.020126027250314038,0.007200791593306897,308,308,0.09886576112472277,0.09879536346442754,0.098936158785018
SMB,Expanding-VolScaled,616,0.9366883116883117,0.948051948051948,0.9253246753246753,0.012645189507658333,0.014978222346967388,308,308,0.10857567834129667,0.13930705469224935,0.07784430199034395
SMB,Rolling-Standard,616,0.887987012987013,0.827922077922078,0.948051948051948,0.02150710474661884,0.012645189507658333,308,308,0.09297198687770562,0.09488761724386723,0.091056356511544
SMB,Rolling-VolScaled,616,0.9074675324675324,0.922077922077922,0.8928571428571429,0.015273505165701156,0.01762370611499381,308,308,0.09990901186507321,0.12707882599744874,0.07273919773269771
HML,Expanding-Standard,616,0.8798701298701299,0.7694805194805194,0.9902597402597403,0.02399812287170166,0.005596087188353066,308,308,0.09223498294677374,0.09277292713505096,0.09169703875849648
HML,Expanding-VolScaled,616,0.8717532467532467,0.8766233766233766,0.8668831168831169,0.018739051537766928,0.01935626165894412,308,308,0.09061458928310606,0.12350450649474792,0.057724672071464186
HML,Rolling-Standard,616,0.8912337662337663,0.8051948051948052,0.9772727272727273,0.02256708116293789,0.008491925844637423,308,308,0.09781899801587299,0.10180431204906203,0.09383368398268398
HML,Rolling-VolScaled,616,0.8944805194805194,0.9058441558441559,0.8831168831168831,0.016640831605322582,0.018306681580494734,308,308,0.09858197654335772,0.1339256751824124,0.06323827790430302
RMW,Expanding-Standard,616,0.8717532467532467,0.762987012987013,0.9805194805194806,0.024230885558221196,0.007875044597129654,308,308,0.058597021636950006,0.05986937693997185,0.05732466633392817
RMW,Expanding-VolScaled,616,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.01762370611499381,0.01762370611499381,308,308,0.06417851819039151,0.08869410632436146,0.03966293005642155
RMW,Rolling-Standard,616,0.8896103896103896,0.8116883116883117,0.9675324675324676,0.022277062657344502,0.01009908569267184,308,308,0.06856004283910531,0.07423790124458873,0.06288218443362191
RMW,Rolling-VolScaled,616,0.9025974025974026,0.8993506493506493,0.9058441558441559,0.01714330913963785,0.016640831605322582,308,308,0.06675498212277789,0.09338301850799835,0.04012694573755742
CMA,Expanding-Standard,616,0.9025974025974026,0.8214285714285714,0.9837662337662337,0.02182305416486033,0.007200791593306897,308,308,0.06394048845938169,0.06331416960128415,0.06456680731747921
CMA,Expanding-VolScaled,616,0.9090909090909091,0.9155844155844156,0.9025974025974026,0.015841093355958954,0.01689495154574874,308,308,0.06293373448170317,0.08284565334278594,0.0430218156206204
CMA,Rolling-Standard,616,0.875,0.7824675324675324,0.9675324675324676,0.023508225494805468,0.01009908569267184,308,308,0.06390632120310244,0.06233330357142856,0.06547933883477632
CMA,Rolling-VolScaled,616,0.913961038961039,0.922077922077922,0.9058441558441559,0.015273505165701156,0.016640831605322582,308,308,0.06295919056975548,0.08218659678355499,0.04373178435595594
Mom,Expanding-Standard,616,0.8896103896103896,0.7987012987012987,0.9805194805194806,0.02284742832399288,0.007875044597129654,308,308,0.12384473408930374,0.12483627811191512,0.12285319006669236
Mom,Expanding-VolScaled,616,0.8944805194805194,0.9090909090909091,0.8798701298701299,0.016380681139919258,0.018525051871954527,308,308,0.12958738034590114,0.18290794068587982,0.07626682000592244
Mom,Rolling-Standard,616,0.9074675324675324,0.8344155844155844,0.9805194805194806,0.021179981428500676,0.007875044597129654,308,308,0.13637318429834056,0.14051033576839825,0.1322360328282828
Mom,Rolling-VolScaled,616,0.8961038961038961,0.9090909090909091,0.8831168831168831,0.016380681139919258,0.018306681580494734,308,308,0.13284129416984017,0.18731754796675645,0.07836504037292387
