factor,period,method,coverage_overall,coverage_high_vol,coverage_low_vol,n_obs
Mkt-RF,1963-1993,standard,0.898876404494382,0.8202247191011236,0.9775280898876404,355
Mkt-RF,1963-1993,saci,0.8651685393258427,0.8202247191011236,0.9101123595505618,355
Mkt-RF,1994-2025,standard,0.9139784946236559,0.8494623655913979,0.978494623655914,371
Mkt-RF,1994-2025,saci,0.8655913978494624,0.8709677419354839,0.8602150537634409,371
Mkt-RF,Full Sample,standard,0.8861788617886179,0.7880434782608695,0.9837837837837838,737
Mkt-RF,Full Sample,saci,0.8780487804878049,0.875,0.8810810810810811,737
SMB,1963-1993,standard,0.9775280898876404,0.9550561797752809,1.0,355
SMB,1963-1993,saci,0.9606741573033708,0.9325842696629213,0.9887640449438202,355
SMB,1994-2025,standard,0.956989247311828,0.9139784946236559,1.0,371
SMB,1994-2025,saci,0.946236559139785,0.9139784946236559,0.978494623655914,371
SMB,Full Sample,standard,0.8943089430894309,0.8206521739130435,0.9675675675675676,737
SMB,Full Sample,saci,0.9024390243902439,0.8369565217391305,0.9675675675675676,737
HML,1963-1993,standard,0.8820224719101124,0.7865168539325843,0.9775280898876404,355
HML,1963-1993,saci,0.8426966292134831,0.8089887640449438,0.8764044943820225,355
HML,1994-2025,standard,0.9193548387096774,0.8387096774193549,1.0,371
HML,1994-2025,saci,0.9247311827956989,0.9032258064516129,0.946236559139785,371
HML,Full Sample,standard,0.8536585365853658,0.7228260869565217,0.9837837837837838,737
HML,Full Sample,saci,0.8509485094850948,0.7717391304347826,0.9297297297297298,737
RMW,1963-1993,standard,0.9213483146067416,0.8651685393258427,0.9775280898876404,355
RMW,1963-1993,saci,0.9157303370786517,0.8539325842696629,0.9775280898876404,355
RMW,1994-2025,standard,0.967741935483871,0.9354838709677419,1.0,371
RMW,1994-2025,saci,0.8870967741935484,0.8709677419354839,0.9032258064516129,371
RMW,Full Sample,standard,0.7913279132791328,0.6521739130434783,0.9297297297297298,737
RMW,Full Sample,saci,0.8102981029810298,0.7228260869565217,0.8972972972972973,737
CMA,1963-1993,standard,0.9438202247191011,0.898876404494382,0.9887640449438202,355
CMA,1963-1993,saci,0.8707865168539326,0.8651685393258427,0.8764044943820225,355
CMA,1994-2025,standard,0.9301075268817204,0.8709677419354839,0.989247311827957,371
CMA,1994-2025,saci,0.9408602150537635,0.9032258064516129,0.978494623655914,371
CMA,Full Sample,standard,0.8644986449864499,0.7445652173913043,0.9837837837837838,737
CMA,Full Sample,saci,0.8644986449864499,0.7880434782608695,0.9405405405405406,737
Mom,1963-1993,standard,0.8876404494382022,0.8314606741573034,0.9438202247191011,355
Mom,1963-1993,saci,0.8651685393258427,0.8314606741573034,0.898876404494382,355
Mom,1994-2025,standard,0.978494623655914,0.956989247311828,1.0,371
Mom,1994-2025,saci,0.9247311827956989,0.9032258064516129,0.946236559139785,371
Mom,Full Sample,standard,0.8509485094850948,0.7228260869565217,0.9783783783783784,737
Mom,Full Sample,saci,0.8726287262872628,0.8043478260869565,0.9405405405405406,737
