factor,threshold,percentile,vs_coverage,vs_n,vs_se,std_coverage,std_n,std_se
Mkt-RF,Median (>50%),50,0.893048128342246,187,0.022600124083547644,0.7914438502673797,187,0.029709869994453027
Mkt-RF,Tercile (>67%),67,0.8951612903225806,124,0.027510636451900824,0.7419354838709677,124,0.03929491693756338
Mkt-RF,Quartile (>75%),75,0.9148936170212766,94,0.02878077197872763,0.7340425531914894,94,0.045572491153691455
Mkt-RF,Decile (>90%),90,0.9736842105263158,38,0.025967220580682362,0.7631578947368421,38,0.06896755958184694
SMB,Median (>50%),50,0.9732620320855615,187,0.011796638918184103,0.8128342245989305,187,0.02852288207227691
SMB,Tercile (>67%),67,0.9919354838709677,124,0.00803193209222837,0.7741935483870968,124,0.03754759324176632
SMB,Quartile (>75%),75,0.9893617021276596,94,0.01058155987913606,0.723404255319149,94,0.046136999817760205
SMB,Decile (>90%),90,0.9736842105263158,38,0.025967220580682362,0.5526315789473685,38,0.08066009201997748
HML,Median (>50%),50,0.8877005347593583,187,0.023088795734907356,0.7165775401069518,187,0.032955501445351344
HML,Tercile (>67%),67,0.8870967741935484,124,0.028420245993485596,0.6370967741935484,124,0.04318046101833366
HML,Quartile (>75%),75,0.9042553191489362,94,0.03034861925770015,0.6063829787234043,94,0.05039024958853708
HML,Decile (>90%),90,0.9210526315789473,38,0.04374407672397163,0.42105263157894735,38,0.08009325371080865
RMW,Median (>50%),50,0.8983957219251337,187,0.02209372945035331,0.6524064171122995,187,0.03482364155021898
RMW,Tercile (>67%),67,0.8870967741935484,124,0.028420245993485596,0.5483870967741935,124,0.04469057496668556
RMW,Quartile (>75%),75,0.8936170212765957,94,0.031801518858639174,0.48936170212765956,94,0.05155938804854268
RMW,Decile (>90%),90,0.9210526315789473,38,0.04374407672397163,0.34210526315789475,38,0.07696021735073709
CMA,Median (>50%),50,0.9144385026737968,187,0.020454818804073866,0.7486631016042781,187,0.031721267844976336
CMA,Tercile (>67%),67,0.9112903225806451,124,0.025533070041379176,0.6612903225806451,124,0.04250098972678995
CMA,Quartile (>75%),75,0.9042553191489362,94,0.03034861925770015,0.6063829787234043,94,0.05039024958853708
CMA,Decile (>90%),90,0.9473684210526315,38,0.03622353692693082,0.5263157894736842,38,0.08099829095409111
Mom,Median (>50%),50,0.9197860962566845,187,0.01986311894093903,0.7219251336898396,187,0.032764696260641914
Mom,Tercile (>67%),67,0.9193548387096774,124,0.024452310275899797,0.6532258064516129,124,0.04274095379077996
Mom,Quartile (>75%),75,0.9148936170212766,94,0.02878077197872763,0.6063829787234043,94,0.05039024958853708
Mom,Decile (>90%),90,0.9473684210526315,38,0.03622353692693082,0.5526315789473685,38,0.08066009201997748
